Niveau 1,Niveau 2,Niveau 3,Niveau 4
"MINISTÈRE DE L'ÉNERGIE, DU PÉTROLE ET DES MINES",Directions ,Direction générale du Contrôle et de la Surveillance des Opérations,"Direction de la Planification, des Etudes et du Suivi-Evaluation"
"MINISTÈRE DE L'ÉNERGIE, DU PÉTROLE ET DES MINES",Directions ,Direction générale du Contrôle et de la Surveillance des Opérations,Direction de l’Administration générale et de l’Equipement
"MINISTÈRE DE L'ÉNERGIE, DU PÉTROLE ET DES MINES",Autres administrations ,,Agence sénégalaise de l’Electrification rurale
"MINISTÈRE DE L'ÉNERGIE, DU PÉTROLE ET DES MINES",Autres administrations ,,Agence pour l’Economie et la Maitrise de l’Energie
"MINISTÈRE DE L'ÉNERGIE, DU PÉTROLE ET DES MINES",Autres administrations ,,Agence nationale pour les Energies renouvelables
"MINISTÈRE DE L'ÉNERGIE, DU PÉTROLE ET DES MINES",Autres administrations ,,Fonds de Développement géologique et minier
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Cabinet et Services rattachés,,Inspection des Services
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Cabinet et Services rattachés,,"Cellule des Statistiques, de l’Analyse et de la Prospective"
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Cabinet et Services rattachés,,"Cellule de l’Information, de la Communication et des Relations publiques"
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Cabinet et Services rattachés,,Bureau des Pèlerinages
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Cabinet et Services rattachés,,Bureau des Passeports spéciaux
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Secrétariat général et services rattachés ,,Service du Courrier commun et de la Valise diplomatique
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Secrétariat général et services rattachés ,,Service du Chiffre
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Secrétariat général et services rattachés ,,Cellule des Etudes et du Suivi-Evaluation
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Secrétariat général et services rattachés ,,Cellule de Passation des Marchés publics
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Secrétariat général et services rattachés ,,Cellule de Coordination du Contrôle de Gestion
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Secrétariat général et services rattachés ,,Cellule du Genre et de l’Equité
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Secrétariat général et services rattachés ,,Cellule de l’Informatique et des Technologies de la Communication
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Secrétariat général et services rattachés ,,Bureau de Suivi
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Directions ,,Direction de l’Intégration africaine et du Panafricanisme
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Directions ,,Direction de la Coopération bilatérale africaine
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Directions ,,Direction des Organisations internationales
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Directions ,,"Direction Asie, Pacifique et Moyen-Orient"
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Directions ,,"Direction Europe, Amérique, Océanie"
