id,name,direction_id/id
sn_srv_ministere_de_l_education_nationale__directions__item__direction_de_la_protection_des_vegetaux,Direction de la Protection des Végétaux,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_de_l_administration_generale_et_de_l_equipement,Direction de l’Administration générale et de l’Equipement,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_de_l_agriculture,Direction de l’Agriculture,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_de_l_alphabetisation_et_des_langues_nationales,Direction de l’Alphabétisation et des Langues nationales,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_de_l_analyse_de_la_prevision_et_des_statistiques_agricoles,"Direction de l’Analyse, de la Prévision et des Statistiques agricoles",
sn_srv_ministere_de_l_education_nationale__directions__item__direction_de_l_elevage,Direction de l’Elevage,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_de_l_enseignement_moyen_secondaire_general,Direction de l’Enseignement moyen secondaire général,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_de_l_enseignement_prescolaire,Direction de l’Enseignement préscolaire,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_de_l_enseignement_elementaire,Direction de l’Enseignement élémentaire,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_de_l_horticulture,Direction de l’Horticulture,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_des_bassins_de_retention_et_des_lacs_artificiels,Direction des Bassins de Rétention et des Lacs artificiels,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_des_daara,Direction des Daara,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_des_equipements_scolaires,Direction des Equipements scolaires,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_des_examens_et_concours,Direction des Examens et Concours,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_des_industries_animales,Direction des Industries animales,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_des_ressources_humaines,Direction des Ressources humaines,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_des_services_veterinaires,Direction des Services vétérinaires,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_du_developpement_des_equides,Direction du Développement des Équidés,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_du_financement_et_du_partenariat_avec_les_organisations,Direction du Financement et du Partenariat avec les Organisations,
sn_srv_ministere_de_l_education_nationale__secretariat_general_et_services_rattaches__item__bureau_de_la_communication_et_de_la_documentation,Bureau de la Communication et de la Documentation,
sn_srv_ministere_de_l_education_nationale__secretariat_general_et_services_rattaches__item__bureau_des_archives_et_de_la_documentation,Bureau des archives et de la Documentation,
sn_srv_ministere_de_l_education_nationale__secretariat_general_et_services_rattaches__item__bureau_du_courrier_commun,Bureau du Courrier commun,
sn_srv_ministere_de_l_education_nationale__secretariat_general_et_services_rattaches__item__cellule_de_coordination_du_controle_de_gestion,Cellule de Coordination du Contrôle de Gestion,
sn_srv_ministere_de_l_education_nationale__secretariat_general_et_services_rattaches__item__cellule_de_l_informatique,Cellule de l’Informatique,
sn_srv_ministere_de_l_education_nationale__secretariat_general_et_services_rattaches__item__cellule_de_passation_des_marches_publics,Cellule de Passation des Marchés publics,
sn_srv_ministere_de_l_education_nationale__secretariat_general_et_services_rattaches__item__cellule_des_affaires_juridiques,Cellule des Affaires juridiques,
sn_srv_ministere_de_l_education_nationale__secretariat_general_et_services_rattaches__item__cellule_des_etudes_de_la_planification_et_suivi_evaluation,"Cellule des Etudes, de la Planification et suivi-évaluation",
sn_srv_ministere_de_l_education_nationale__secretariat_general_et_services_rattaches__item__cellule_du_genre_et_de_l_equite,Cellule du Genre et de l’Equité,
sn_srv_ministere_de_l_education_nationale__secretariat_general_et_services_rattaches__item__cellule_genre_et_de_l_equite,Cellule Genre et de l’Equité,
sn_srv_ministere_de_l_education_nationale__secretariat_general_et_services_rattaches__item__centre_de_perfectionnement_en_langue_anglaise,Centre de Perfectionnement en Langue anglaise,
sn_srv_ministere_de_l_education_nationale__secretariat_general_permanent_de_la_commission_nationale_pour_l_unesco__item__agence_nationale_de_la_petite_enfance_et_de_la_case_des_tout_petits,Agence nationale de la Petite Enfance et de la Case des Tout-petits,
